,Country,Metric Name,Metric Value
2088,ANC (South Africa)*,Aircraft_Normalized_Exports,
2610,ANC (South Africa)*,Aircraft_Normalized_Gross,
2349,ANC (South Africa)*,Aircraft_Normalized_Imports,
1827,ANC (South Africa)*,Aircraft_Score,
1566,ANC (South Africa)*,Country_Score,0.0
0,ANC (South Africa)*,Exports,0.0
522,ANC (South Africa)*,Gross_Deals,0.0
7308,ANC (South Africa)*,Ground Vehicles/Artillery_Normalized_Exports,
7830,ANC (South Africa)*,Ground Vehicles/Artillery_Normalized_Gross,
7569,ANC (South Africa)*,Ground Vehicles/Artillery_Normalized_Imports,
7047,ANC (South Africa)*,Ground Vehicles/Artillery_Score,
5220,ANC (South Africa)*,Helicopters_Normalized_Exports,
5742,ANC (South Africa)*,Helicopters_Normalized_Gross,
5481,ANC (South Africa)*,Helicopters_Normalized_Imports,
4959,ANC (South Africa)*,Helicopters_Score,
261,ANC (South Africa)*,Imports,0.24
4176,ANC (South Africa)*,Missiles/Rockets/Bombs_Normalized_Exports,0.0
4698,ANC (South Africa)*,Missiles/Rockets/Bombs_Normalized_Gross,0.0
4437,ANC (South Africa)*,Missiles/Rockets/Bombs_Normalized_Imports,0.0011741516387487653
3915,ANC (South Africa)*,Missiles/Rockets/Bombs_Score,0.001
9396,ANC (South Africa)*,Naval Vessels_Normalized_Exports,
9918,ANC (South Africa)*,Naval Vessels_Normalized_Gross,
9657,ANC (South Africa)*,Naval Vessels_Normalized_Imports,
9135,ANC (South Africa)*,Naval Vessels_Score,
783,ANC (South Africa)*,Normalized_Exports,0.0
1305,ANC (South Africa)*,Normalized_Gross,0.0
1044,ANC (South Africa)*,Normalized_Imports,1.7121245239580438e-06
8352,ANC (South Africa)*,Radar/Detection Systems_Normalized_Exports,
8874,ANC (South Africa)*,Radar/Detection Systems_Normalized_Gross,
8613,ANC (South Africa)*,Radar/Detection Systems_Normalized_Imports,
8091,ANC (South Africa)*,Radar/Detection Systems_Score,
3132,ANC (South Africa)*,Specialized Equipment_Normalized_Exports,
3654,ANC (South Africa)*,Specialized Equipment_Normalized_Gross,
3393,ANC (South Africa)*,Specialized Equipment_Normalized_Imports,
2871,ANC (South Africa)*,Specialized Equipment_Score,
6264,ANC (South Africa)*,Unmanned Vehicles_Normalized_Exports,
6786,ANC (South Africa)*,Unmanned Vehicles_Normalized_Gross,
6525,ANC (South Africa)*,Unmanned Vehicles_Normalized_Imports,
6003,ANC (South Africa)*,Unmanned Vehicles_Score,
10440,ANC (South Africa)*,ZZ_loop_export_score,
10701,ANC (South Africa)*,ZZ_loop_import_score,
10179,ANC (South Africa)*,ZZ_loop_score,
2089,Afghanistan,Aircraft_Normalized_Exports,0.0
2611,Afghanistan,Aircraft_Normalized_Gross,0.0
2350,Afghanistan,Aircraft_Normalized_Imports,7.3512482032198445
1828,Afghanistan,Aircraft_Score,3.161
1567,Afghanistan,Country_Score,4.626
1,Afghanistan,Exports,0.0
523,Afghanistan,Gross_Deals,0.0
7309,Afghanistan,Ground Vehicles/Artillery_Normalized_Exports,0.0
7831,Afghanistan,Ground Vehicles/Artillery_Normalized_Gross,0.0
7570,Afghanistan,Ground Vehicles/Artillery_Normalized_Imports,18.24866363002512
7048,Afghanistan,Ground Vehicles/Artillery_Score,7.8469999999999995
5221,Afghanistan,Helicopters_Normalized_Exports,0.0
5743,Afghanistan,Helicopters_Normalized_Gross,0.0
5482,Afghanistan,Helicopters_Normalized_Imports,21.56275886939351
4960,Afghanistan,Helicopters_Score,9.272
262,Afghanistan,Imports,15079.26
4177,Afghanistan,Missiles/Rockets/Bombs_Normalized_Exports,0.0
4699,Afghanistan,Missiles/Rockets/Bombs_Normalized_Gross,0.0
4438,Afghanistan,Missiles/Rockets/Bombs_Normalized_Imports,17.083710651854744
3916,Afghanistan,Missiles/Rockets/Bombs_Score,7.346
9397,Afghanistan,Naval Vessels_Normalized_Exports,
9919,Afghanistan,Naval Vessels_Normalized_Gross,
9658,Afghanistan,Naval Vessels_Normalized_Imports,
9136,Afghanistan,Naval Vessels_Score,
784,Afghanistan,Normalized_Exports,0.0
1306,Afghanistan,Normalized_Gross,0.0
1045,Afghanistan,Normalized_Imports,0.10757321187141489
8353,Afghanistan,Radar/Detection Systems_Normalized_Exports,0.0
8875,Afghanistan,Radar/Detection Systems_Normalized_Gross,0.0
8614,Afghanistan,Radar/Detection Systems_Normalized_Imports,1.1145699715295811
8092,Afghanistan,Radar/Detection Systems_Score,0.479
3133,Afghanistan,Specialized Equipment_Normalized_Exports,0.0
3655,Afghanistan,Specialized Equipment_Normalized_Gross,0.0
3394,Afghanistan,Specialized Equipment_Normalized_Imports,0.37307441653994733
2872,Afghanistan,Specialized Equipment_Score,0.16
6265,Afghanistan,Unmanned Vehicles_Normalized_Exports,0.0
6787,Afghanistan,Unmanned Vehicles_Normalized_Gross,0.0
6526,Afghanistan,Unmanned Vehicles_Normalized_Imports,2.591792656587473
6004,Afghanistan,Unmanned Vehicles_Score,1.114
10441,Afghanistan,ZZ_loop_export_score,0.0
10702,Afghanistan,ZZ_loop_import_score,7.3512482032198445
10180,Afghanistan,ZZ_loop_score,3.161
2090,African Union**,Aircraft_Normalized_Exports,
2612,African Union**,Aircraft_Normalized_Gross,
2351,African Union**,Aircraft_Normalized_Imports,
1829,African Union**,Aircraft_Score,
1568,African Union**,Country_Score,0.027
2,African Union**,Exports,0.0
524,African Union**,Gross_Deals,0.0
7310,African Union**,Ground Vehicles/Artillery_Normalized_Exports,0.0
7832,African Union**,Ground Vehicles/Artillery_Normalized_Gross,0.0
7571,African Union**,Ground Vehicles/Artillery_Normalized_Imports,0.17699688694175625
7049,African Union**,Ground Vehicles/Artillery_Score,0.076
5222,African Union**,Helicopters_Normalized_Exports,0.0
5744,African Union**,Helicopters_Normalized_Gross,0.0
5483,African Union**,Helicopters_Normalized_Imports,0.3789129292931053
4961,African Union**,Helicopters_Score,0.163
263,African Union**,Imports,88.58
4178,African Union**,Missiles/Rockets/Bombs_Normalized_Exports,
4700,African Union**,Missiles/Rockets/Bombs_Normalized_Gross,
4439,African Union**,Missiles/Rockets/Bombs_Normalized_Imports,
3917,African Union**,Missiles/Rockets/Bombs_Score,
9398,African Union**,Naval Vessels_Normalized_Exports,
9920,African Union**,Naval Vessels_Normalized_Gross,
9659,African Union**,Naval Vessels_Normalized_Imports,
9137,African Union**,Naval Vessels_Score,
785,African Union**,Normalized_Exports,0.0
1307,African Union**,Normalized_Gross,0.0
1046,African Union**,Normalized_Imports,0.0006319166263841813
8354,African Union**,Radar/Detection Systems_Normalized_Exports,
8876,African Union**,Radar/Detection Systems_Normalized_Gross,
8615,African Union**,Radar/Detection Systems_Normalized_Imports,
8093,African Union**,Radar/Detection Systems_Score,
3134,African Union**,Specialized Equipment_Normalized_Exports,
3656,African Union**,Specialized Equipment_Normalized_Gross,
3395,African Union**,Specialized Equipment_Normalized_Imports,
2873,African Union**,Specialized Equipment_Score,
6266,African Union**,Unmanned Vehicles_Normalized_Exports,0.0
6788,African Union**,Unmanned Vehicles_Normalized_Gross,0.0
6527,African Union**,Unmanned Vehicles_Normalized_Imports,0.03599712023038157
6005,African Union**,Unmanned Vehicles_Score,0.015
10442,African Union**,ZZ_loop_export_score,
10703,African Union**,ZZ_loop_import_score,
10181,African Union**,ZZ_loop_score,
2091,Albania,Aircraft_Normalized_Exports,0.0
2613,Albania,Aircraft_Normalized_Gross,0.0
2352,Albania,Aircraft_Normalized_Imports,1.0103144209178792
1830,Albania,Aircraft_Score,0.434
1569,Albania,Country_Score,0.681
3,Albania,Exports,1.2
525,Albania,Gross_Deals,2220.14
7311,Albania,Ground Vehicles/Artillery_Normalized_Exports,0.0010922242281729225
7833,Albania,Ground Vehicles/Artillery_Normalized_Gross,0.7736196872848082
7572,Albania,Ground Vehicles/Artillery_Normalized_Imports,3.5010442737277803
7050,Albania,Ground Vehicles/Artillery_Score,1.506
5223,Albania,Helicopters_Normalized_Exports,0.0
5745,Albania,Helicopters_Normalized_Gross,0.0
5484,Albania,Helicopters_Normalized_Imports,1.1054675829100686
4962,Albania,Helicopters_Score,0.475
264,Albania,Imports,2218.94
4179,Albania,Missiles/Rockets/Bombs_Normalized_Exports,0.0
4701,Albania,Missiles/Rockets/Bombs_Normalized_Gross,0.0
4440,Albania,Missiles/Rockets/Bombs_Normalized_Imports,0.4219118221903897
3918,Albania,Missiles/Rockets/Bombs_Score,0.181
9399,Albania,Naval Vessels_Normalized_Exports,0.0
9921,Albania,Naval Vessels_Normalized_Gross,0.0
9660,Albania,Naval Vessels_Normalized_Imports,2.9563638329168254
9138,Albania,Naval Vessels_Score,1.2710000000000001
786,Albania,Normalized_Exports,1.595171140461492e-06
1308,Albania,Normalized_Gross,0.0027951574055952626
1047,Albania,Normalized_Imports,0.01582958996329776
8355,Albania,Radar/Detection Systems_Normalized_Exports,
8877,Albania,Radar/Detection Systems_Normalized_Gross,
8616,Albania,Radar/Detection Systems_Normalized_Imports,
8094,Albania,Radar/Detection Systems_Score,
3135,Albania,Specialized Equipment_Normalized_Exports,
3657,Albania,Specialized Equipment_Normalized_Gross,
3396,Albania,Specialized Equipment_Normalized_Imports,
2874,Albania,Specialized Equipment_Score,
6267,Albania,Unmanned Vehicles_Normalized_Exports,0.0
6789,Albania,Unmanned Vehicles_Normalized_Gross,0.0
6528,Albania,Unmanned Vehicles_Normalized_Imports,0.8639308855291578
6006,Albania,Unmanned Vehicles_Score,0.371
10443,Albania,ZZ_loop_export_score,0.0
10704,Albania,ZZ_loop_import_score,1.0103144209178792
10182,Albania,ZZ_loop_score,0.434
2092,Algeria,Aircraft_Normalized_Exports,0.003008921683064906
2614,Algeria,Aircraft_Normalized_Gross,2.9688145665935464
2353,Algeria,Aircraft_Normalized_Imports,20.085226189266805
1831,Algeria,Aircraft_Score,8.638
1570,Algeria,Country_Score,10.328
4,Algeria,Exports,12.06
526,Algeria,Gross_Deals,33675.96
7312,Algeria,Ground Vehicles/Artillery_Normalized_Exports,0.00027305605704323064
7834,Algeria,Ground Vehicles/Artillery_Normalized_Gross,7.751094302561737
7573,Algeria,Ground Vehicles/Artillery_Normalized_Imports,35.12419821754095
7051,Algeria,Ground Vehicles/Artillery_Score,15.104000000000001
5224,Algeria,Helicopters_Normalized_Exports,0.0
5746,Algeria,Helicopters_Normalized_Gross,0.0
